Date,Active Account,New Account
2022-11-29,20,5
2022-11-30,17,2
2022-12-01,4,0
2022-12-02,10,3
2022-12-03,13,0
2022-12-04,18,1
2022-12-05,17,1
2022-12-06,6,0
2022-12-07,13,2
2022-12-08,14,0
2022-12-09,8,2
2022-12-10,11,3
2022-12-11,8,0
2022-12-12,14,4
2022-12-13,14,3
2022-12-14,8,2
2022-12-15,14,2
2022-12-16,9,1
2022-12-17,8,0
2022-12-18,4,1
2022-12-19,17,2
2022-12-20,13,1
2022-12-21,7,0
2022-12-22,14,1
2022-12-23,20,1
2022-12-24,20,7
2022-12-25,26,5
2022-12-26,15,4
2022-12-27,19,2
2022-12-28,14,1
2022-12-29,7,2
2022-12-30,15,2
2022-12-31,9,1
2023-01-01,14,1
2023-01-02,16,2
2023-01-03,15,2
2023-01-04,10,0
2023-01-05,9,2
2023-01-06,8,1
2023-01-07,18,5
2023-01-08,8,1
2023-01-09,11,0
2023-01-10,10,2
2023-01-11,7,0
2023-01-12,11,2
2023-01-13,12,0
2023-01-14,20,0
2023-01-15,9,1
2023-01-16,13,1
2023-01-17,19,3
2023-01-18,16,2
2023-01-19,26,3
2023-01-20,9,0
2023-01-21,17,0
2023-01-22,21,1
2023-01-23,16,2
2023-01-24,20,1
2023-01-25,14,1
2023-01-26,10,1
2023-01-27,17,1
2023-01-28,19,1
2023-01-29,16,3
2023-01-30,11,1
2023-01-31,17,2
2023-02-01,22,3
2023-02-02,12,2
2023-02-03,13,1
2023-02-04,25,1
2023-02-05,19,2
2023-02-06,16,2
2023-02-07,27,4
2023-02-08,21,4
2023-02-09,11,1
2023-02-10,15,3
2023-02-11,14,2
2023-02-12,15,3
2023-02-13,19,3
2023-02-14,18,2
2023-02-15,25,6
2023-02-16,22,7
2023-02-17,26,10
2023-02-18,23,6
2023-02-19,20,6
2023-02-20,37,5
2023-02-21,42,14
2023-02-22,29,5
2023-02-23,21,5
2023-02-24,18,2
2023-02-25,21,3
2023-02-26,17,1
2023-02-27,18,2
2023-02-28,27,5
2023-03-01,27,0
2023-03-02,19,2
2023-03-03,26,5
2023-03-04,25,5
2023-03-05,25,3
2023-03-06,19,2
2023-03-07,14,2
2023-03-08,31,2
2023-03-09,15,0
2023-03-10,20,1
2023-03-11,10,1
2023-03-12,12,0
2023-03-13,22,8
2023-03-14,24,7
2023-03-15,12,2
2023-03-16,20,3
2023-03-17,23,3
2023-03-18,19,1
2023-03-19,17,2
2023-03-20,20,5
2023-03-21,18,5
2023-03-22,20,2
2023-03-23,21,3
2023-03-24,19,3
2023-03-25,10,1
2023-03-26,16,2
2023-03-27,20,2
2023-03-28,23,3
2023-03-29,18,2
2023-03-30,16,0
2023-03-31,15,1
2023-04-01,15,3
2023-04-02,18,3
2023-04-03,25,2
2023-04-04,19,2
2023-04-05,23,4
